"SF43707.date","SF43707.value"
1995-12-29,15741
1996-01-05,15671.9
1996-01-12,16045.3
1996-01-19,15991.6
1996-01-26,16002.1
1996-02-02,15392.3
1996-02-09,15545.2
1996-02-16,15773
1996-02-23,15784.9
1996-03-01,15956.8
1996-03-08,15784.4
1996-03-15,15796.3
1996-03-22,15797.7
1996-03-29,15491
1996-04-03,15663.4
1996-04-12,15619.8
1996-04-19,15714.4
1996-04-26,15639.1
1996-05-03,15893.7
1996-05-10,15908.3
1996-05-17,15919.3
1996-05-24,16017.1
1996-05-31,15954.5
1996-06-07,15970.8
1996-06-14,15872.5
1996-06-21,15843.7
1996-06-28,15402.2
1996-07-05,15464.4
1996-07-12,15371.1
1996-07-19,15874.9
1996-07-26,15905.2
1996-08-02,16245.7
1996-08-09,15887
1996-08-16,15424.7
1996-08-23,15386.8
1996-08-30,15443.6
1996-09-06,15528.1
1996-09-13,15426.3
1996-09-20,15580.5
1996-09-27,15571
1996-10-04,15847.5
1996-10-11,15850.8
1996-10-18,15738.8
1996-10-25,15762.6
1996-11-01,16122.1
1996-11-08,15897.4
1996-11-15,15801.2
1996-11-22,16257.1
1996-11-29,16316.9
1996-12-06,16397.6
1996-12-13,16344.1
1996-12-20,16779.9
1996-12-27,17172.1
1996-12-31,17509.2
1997-01-03,17651.3
1997-01-10,17862.6
1997-01-17,17710.2
1997-01-24,18147.2
1997-01-31,18960.2
1997-02-07,18809.4
1997-02-14,18483.2
1997-02-21,19592
1997-02-28,20201.6
1997-03-07,20339
1997-03-14,20175.6
1997-03-20,20251.8
1997-03-26,19836
1997-04-04,20509.5
1997-04-11,20547.1
1997-04-18,20903.3
1997-04-25,21717.9
1997-05-02,21446.1
1997-05-09,21773.4
1997-05-16,21726.9
1997-05-23,22181
1997-05-30,22262.1
1997-06-06,22287.2
1997-06-13,22391.2
1997-06-20,21257.6
1997-06-27,21695.5
1997-07-04,21999.5
1997-07-11,22155.6
1997-07-18,22474.3
1997-07-25,22512.2
1997-08-01,22485.1
1997-08-08,22726.2
1997-08-15,22676.3
1997-08-22,23109.8
1997-08-29,23285.4
1997-09-05,23340.2
1997-09-12,23425.5
1997-09-19,23824.9
1997-09-26,24427.7
1997-10-03,25039.4
1997-10-10,25384.2
1997-10-17,25438.6
1997-10-24,26066.7
1997-10-31,25830.5
1997-11-07,25709.3
1997-11-14,25462.4
1997-11-21,25414.5
1997-11-28,25474.2
1997-12-05,25801.5
1997-12-11,25745.4
1997-12-19,27609
1997-12-26,27808.2
1998-01-02,28175.6
1998-01-09,28458.8
1998-01-16,28347.5
1998-01-23,28629.4
1998-01-30,28632.7
1998-02-06,28886.1
1998-02-13,28452.3
1998-02-20,28441.9
1998-02-27,28597.4
1998-03-06,28813.2
1998-03-13,29534.1
1998-03-20,29452.9
1998-03-27,29421.7
1998-04-03,29877.3
1998-04-08,30643.7
1998-04-17,30791.9
1998-04-24,30991.1
1998-04-30,30499.3
1998-05-08,30567.1
1998-05-15,30402
1998-05-22,30404.7
1998-05-29,30201.8
1998-06-05,30152.7
1998-06-12,29997.7
1998-06-19,29976.4
1998-06-26,29877.1
1998-07-03,29758
1998-07-10,29695.5
1998-07-17,30071.9
1998-07-24,30507.3
1998-07-31,30723.9
1998-08-07,30027.6
1998-08-14,29703.9
1998-08-21,29574.2
1998-08-28,29390
1998-09-04,29692.3
1998-09-11,29101.9
1998-09-18,28990.4
1998-09-25,28929.7
1998-10-02,28415.3
1998-10-09,28722.1
1998-10-16,29330.4
1998-10-23,29197.3
1998-10-30,29282.5
1998-11-06,29142
1998-11-13,29097.1
1998-11-19,29132.5
1998-11-27,28815.2
1998-12-04,29263.5
1998-12-11,29182.3
1998-12-18,29395.4
1998-12-24,29735.6
1998-12-31,30139.8
1999-01-08,30359.8
1999-01-15,30127.5
1999-01-22,30356.1
1999-01-29,30365.8
1999-02-04,30399.6
1999-02-12,30699.7
1999-02-19,30624.6
1999-02-26,30477.9
1999-03-05,30731.9
1999-03-12,30894.3
1999-03-19,30628.9
1999-03-26,30620.3
1999-03-31,30102
1999-04-09,30365.4
1999-04-16,30389
1999-04-23,30427.5
1999-04-30,30259.9
1999-05-07,29604.4
1999-05-14,30035
1999-05-21,30254.5
1999-05-28,30184.2
1999-06-04,30090.2
1999-06-11,30365.1
1999-06-18,30139.4
1999-06-25,30260.9
1999-07-02,30167.9
1999-07-09,30293.9
1999-07-16,31078
1999-07-23,31331.9
1999-07-30,31420.7
1999-08-06,31223.4
1999-08-13,30758.9
1999-08-20,30856.4
1999-08-27,30826
1999-09-03,31024.3
1999-09-10,31116.4
1999-09-17,30741.8
1999-09-24,30948.7
1999-10-01,31000.4
1999-10-08,30930.1
1999-10-15,31014.4
1999-10-22,30923.7
1999-10-29,30775.8
1999-11-05,29921.8
1999-11-12,30274.8
1999-11-19,30264.5
1999-11-26,30355.3
1999-12-03,30364.6
1999-12-10,30652.3
1999-12-17,30694.7
1999-12-24,31062.5
1999-12-31,30733.4
2000-01-07,30717.3
2000-01-14,30711.6
2000-01-21,31117.7
2000-01-28,31540.9
2000-02-04,30763.7
2000-02-11,31491.8
2000-02-18,31687
2000-02-25,31903.2
2000-03-03,32167
2000-03-10,32311.4
2000-03-17,32366.1
2000-03-24,33833.7
2000-03-31,34010
2000-04-07,34013.5
2000-04-14,34095.6
2000-04-19,34001.5
2000-04-28,33746
2000-05-04,33639.8
2000-05-12,33719.5
2000-05-19,33712.9
2000-05-26,33679.2
2000-06-02,32866.2
2000-06-09,32916.1
2000-06-16,32218.7
2000-06-23,32475.2
2000-06-30,31904.4
2000-07-07,31661.5
2000-07-14,31485
2000-07-21,31825.4
2000-07-28,32337.5
2000-08-04,32525.5
2000-08-11,32748.9
2000-08-18,32847.1
2000-08-25,33037.7
2000-09-01,30558.4
2000-09-08,30605.3
2000-09-15,30661.9
2000-09-22,31286
2000-09-29,31869.9
2000-10-06,31891.6
2000-10-13,31965
2000-10-20,31991.7
2000-10-27,32936.6
2000-11-03,32681.4
2000-11-10,32602.6
2000-11-17,32498.6
2000-11-24,32482.8
2000-11-30,32164.1
2000-12-08,32505.4
2000-12-15,32506.9
2000-12-22,32459.3
2000-12-29,33554.9
2001-01-05,33927.4
2001-01-12,33847
2001-01-19,33927
2001-01-26,33935.5
2001-02-02,35941.5
2001-02-09,36368.4
2001-02-16,36348.7
2001-02-23,36381.8
2001-03-02,37331.8
2001-03-09,37657
2001-03-16,37755.5
2001-03-23,37789.4
2001-03-30,38035.5
2001-04-06,38333.7
2001-04-11,38092.6
2001-04-20,38186.1
2001-04-27,38160.5
2001-05-04,38669.8
2001-05-11,38651.4
2001-05-18,38372.1
2001-05-25,38367.1
2001-06-01,38900
2001-06-08,39018.4
2001-06-15,39158.6
2001-06-22,39012.5
2001-06-29,38730.4
2001-07-06,38794.9
2001-07-13,38614.3
2001-07-20,38689.1
2001-07-27,38724.5
2001-08-03,38659.1
2001-08-10,38877.8
2001-08-17,38674.4
2001-08-24,38643.1
2001-08-31,39021.1
2001-09-07,39119.7
2001-09-14,39159.9
2001-09-21,39122.8
2001-09-28,39414.6
2001-10-05,39550
2001-10-12,39558.7
2001-10-19,39560
2001-10-26,39634.8
2001-11-02,40521.1
2001-11-09,40612.4
2001-11-16,39886
2001-11-23,39688.3
2001-11-30,40069.6
2001-12-07,39768.2
2001-12-14,40140.8
2001-12-21,40172.2
2001-12-28,40091.2
2002-01-04,40889.9
2002-01-11,41046.3
2002-01-18,41114.8
2002-01-25,41202.5
2002-02-01,41726.4
2002-02-08,41946.4
2002-02-15,41956.5
2002-02-22,41986.2
2002-03-01,42124.7
2002-03-08,41940.8
2002-03-15,42064.4
2002-03-22,42092.8
2002-03-27,42228.7
2002-04-05,41861.1
2002-04-12,41689.4
2002-04-19,40950.7
2002-04-26,41067
2002-05-03,41318.5
2002-05-10,41456.1
2002-05-17,41101.7
2002-05-24,41222.9
2002-05-31,41594.1
2002-06-07,41740.6
2002-06-14,41960.5
2002-06-21,42107.4
2002-06-28,42722.9
2002-07-05,42740.6
2002-07-12,43055.4
2002-07-19,43213.8
2002-07-26,43258.5
2002-08-02,43918.8
2002-08-09,44038.6
2002-08-16,44061
2002-08-23,44162.7
2002-08-30,44273.1
2002-09-06,44465
2002-09-13,44344.7
2002-09-20,44412.5
2002-09-27,44981.4
2002-10-04,44999.4
2002-10-11,44705.8
2002-10-18,44592
2002-10-25,44664.3
2002-11-01,45248.9
2002-11-08,45312.4
2002-11-15,44948.1
2002-11-22,44850.3
2002-11-29,45238.5
2002-12-06,45407.8
2002-12-13,45660.9
2002-12-20,45990.8
2002-12-27,46098.7
2003-01-03,47931.3
2003-01-10,48119.4
2003-01-17,48328.4
2003-01-24,48536.6
2003-01-31,49440.1
2003-02-07,49723.6
2003-02-14,49747.8
2003-02-21,49822.7
2003-02-28,50315.3
2003-03-07,50575.8
2003-03-14,50810.4
2003-03-20,50741.8
2003-03-28,51095.8
2003-04-04,52042.3
2003-04-11,52199.4
2003-04-16,52485.5
2003-04-25,52612.7
2003-05-02,53734.8
2003-05-09,53967.6
2003-05-16,53803.1
2003-05-23,53800.5
2003-05-30,53571.4
2003-06-06,53494.4
2003-06-13,53652.2
2003-06-20,53322.8
2003-06-27,52899.3
2003-07-04,53370.6
2003-07-11,52886.7
2003-07-18,52450.2
2003-07-25,51636.4
2003-08-01,51725.7
2003-08-08,51980.3
2003-08-15,51338.9
2003-08-22,51123.1
2003-08-29,51486.9
2003-09-05,51570.3
2003-09-12,51350.3
2003-09-19,51477.9
2003-09-26,51417.7
2003-10-03,52081.8
2003-10-10,52212.3
2003-10-17,52183.2
2003-10-24,52374.7
2003-10-31,53645.6
2003-11-07,53735.6
2003-11-14,54117
2003-11-21,54303.7
2003-11-28,55395.9
2003-12-05,55454.4
2003-12-11,55834
2003-12-19,55638.2
2003-12-26,56085.7
2004-01-02,57383.2
2004-01-09,57721.9
2004-01-16,57330.8
2004-01-23,57540.7
2004-01-30,58742.5
2004-02-06,58810
2004-02-13,58931.6
2004-02-20,58527.6
2004-02-27,59151.3
2004-03-05,59041
2004-03-12,58821.5
2004-03-19,58649
2004-03-26,58405.9
2004-04-02,58847.9
2004-04-07,58711.5
2004-04-16,58305.1
2004-04-23,57981.2
2004-04-30,58393.7
2004-05-07,58115.6
2004-05-14,58422.4
2004-05-21,58405.7
2004-05-28,58481.6
2004-06-04,58676.9
2004-06-11,58543.8
2004-06-18,58461.4
2004-06-25,58407.3
2004-07-02,59254.3
2004-07-09,59070.7
2004-07-16,58239.6
2004-07-23,57891.3
2004-07-30,57827.2
2004-08-06,57920.9
2004-08-13,57503
2004-08-20,57590.7
2004-08-27,57622.8
2004-09-03,58253
2004-09-10,57413.2
2004-09-17,57242
2004-09-24,56886.8
2004-10-01,57586.2
2004-10-08,57673.4
2004-10-15,57710.6
2004-10-22,57685.2
2004-10-29,58137.3
2004-11-05,58321.4
2004-11-12,58375.2
2004-11-19,58505.6
2004-11-26,58737.6
2004-12-03,60592
2004-12-10,60671.7
2004-12-17,60922.1
2004-12-24,61410.7
2004-12-31,61496.3
2005-01-07,61252.1
2005-01-14,61550.4
2005-01-21,61762.7
2005-01-28,61780.9
2005-02-04,61677.3
2005-02-11,61560.9
2005-02-18,61495.9
2005-02-25,61368.3
2005-03-04,62096.6
2005-03-11,61853.8
2005-03-18,61694.9
2005-03-23,61363
2005-04-01,61728.3
2005-04-08,60374
2005-04-15,60179.3
2005-04-22,60122.9
2005-04-29,60714.6
2005-05-06,60141.1
2005-05-13,59890.3
2005-05-20,59742.6
2005-05-27,59756.8
2005-06-03,60697
2005-06-10,60244.4
2005-06-17,60377.5
2005-06-24,60654.7
2005-07-01,61633.2
2005-07-08,60597.4
2005-07-15,57332.9
2005-07-22,57460.7
2005-07-29,59330.6
2005-08-05,59381.4
2005-08-12,59281.2
2005-08-19,59174.5
2005-08-26,59300.8
2005-09-02,60946.5
2005-09-09,61173.2
2005-09-15,60965.2
2005-09-23,60946.4
2005-09-30,62836.1
2005-10-07,62755
2005-10-14,62331.2
2005-10-21,62357.7
2005-10-28,62294.4
2005-11-04,64958.7
2005-11-11,65134.1
2005-11-18,65237
2005-11-25,65474.5
2005-12-02,66916.9
2005-12-09,66994.2
2005-12-16,67115.2
2005-12-23,67081.2
2005-12-30,68668.9
2006-01-06,68861.5
2006-01-13,69133.8
2006-01-20,69184
2006-01-27,69608.9
2006-02-03,67251.6
2006-02-10,67142.6
2006-02-17,67271.4
2006-02-24,67273.1
2006-03-03,67351.6
2006-03-10,67240.5
2006-03-17,67513.3
2006-03-24,67546
2006-03-31,67487.1
2006-04-07,67561.3
2006-04-12,68677.7
2006-04-21,69617
2006-04-28,70611.5
2006-05-05,71915.9
2006-05-12,72822
2006-05-19,73386.7
2006-05-26,74574.4
2006-06-02,75755.3
2006-06-09,76049.6
2006-06-16,76718.6
2006-06-23,77306.1
2006-06-30,78742.7
2006-07-07,79101.2
2006-07-14,78190.4
2006-07-21,78033.3
2006-07-28,77597.5
2006-08-04,77692.3
2006-08-11,77911.9
2006-08-18,65639.7
2006-08-25,65857.3
2006-09-01,65888.5
2006-09-08,65549.2
2006-09-15,66220.1
2006-09-22,66951.4
2006-09-29,67302.6
2006-10-06,67597.2
2006-10-13,67470.2
2006-10-20,68244.4
2006-10-27,68754.4
2006-11-03,68570.6
2006-11-10,68595
2006-11-17,68701
2006-11-24,69192.6
2006-11-30,69542.2
2006-12-08,69337.6
2006-12-15,69556.1
2006-12-22,69716.8
2006-12-29,67679.7
2007-01-05,68051.9
2007-01-12,68135.5
2007-01-19,67847.8
2007-01-26,67840.2
2007-02-02,67795.2
2007-02-09,68214.4
2007-02-16,68649.7
2007-02-23,68872.9
2007-03-02,68992.2
2007-03-09,69064.9
2007-03-16,69331.9
2007-03-23,69329.9
2007-03-30,69195.5
2007-04-04,69351.5
2007-04-13,69186.6
2007-04-20,69338.4
2007-04-27,69423.2
2007-05-04,69681.3
2007-05-11,69825
2007-05-18,69489.8
2007-05-25,69632.5
2007-06-01,69473.9
2007-06-08,69555.6
2007-06-15,69687.6
2007-06-22,69847.3
2007-06-29,69939.4
2007-07-06,69885.1
2007-07-13,69720.1
2007-07-20,70910.1
2007-07-27,71180.3
2007-08-03,71311.8
2007-08-10,71677.7
2007-08-17,70420.7
2007-08-24,70907
2007-08-31,71060.4
2007-09-07,71425.2
2007-09-14,72279.8
2007-09-21,73241.3
2007-09-28,73224.1
2007-10-05,73234.1
2007-10-12,74023.3
2007-10-19,75308.4
2007-10-26,75522
2007-11-01,75708.9
2007-11-09,75737.9
2007-11-16,75643.6
2007-11-23,76418.2
2007-11-30,77402.5
2007-12-07,77238.7
2007-12-14,77013.4
2007-12-21,77242.1
2007-12-28,77894.1
2008-01-04,78347.7
2008-01-11,78888.1
2008-01-18,79689.5
2008-01-25,79925.2
2008-02-01,80116.3
2008-02-08,79997.9
2008-02-15,80450.8
2008-02-22,80329.7
2008-02-29,81391.6
2008-03-07,82689.8
2008-03-14,82037.8
2008-03-19,82838.9
2008-03-28,82880.9
2008-04-04,83677.1
2008-04-11,84650.2
2008-04-18,84386.4
2008-04-25,84768.6
2008-05-02,84658.3
2008-05-09,84770.2
2008-05-16,84832.5
2008-05-23,85225.6
2008-05-30,84635.9
2008-06-06,85025.5
2008-06-13,84849
2008-06-20,85561.9
2008-06-27,85663
2008-07-04,86105
2008-07-11,86742.8
2008-07-18,86884.7
2008-07-25,78135.1
2008-08-01,78232.7
2008-08-08,78426.2
2008-08-15,78942.5
2008-08-22,79111.4
2008-08-29,80687.5
2008-09-05,81206.4
2008-09-12,81882.4
2008-09-19,81977
2008-09-26,83552.7
2008-10-03,84115.8
2008-10-10,75121.2
2008-10-17,78655
2008-10-24,76570.7
2008-10-31,77135.6
2008-11-07,81115.2
2008-11-14,80863.8
2008-11-21,80983.8
2008-11-28,83396.1
2008-12-05,83963.5
2008-12-11,84662.3
2008-12-19,85374.7
2008-12-26,85273.7
