"SF43707.date","SF43707.value"
2009-01-02,85186.9
2009-01-09,85118.6
2009-01-16,84512.1
2009-01-23,84045.1
2009-01-30,83630.9
2009-02-06,82084.7
2009-02-13,81555.9
2009-02-20,80933.4
2009-02-27,80060.6
2009-03-06,79822.3
2009-03-13,79329.6
2009-03-20,80619.5
2009-03-27,79004.5
2009-04-03,78401.5
2009-04-08,77984.3
2009-04-17,77910.4
2009-04-24,77491.3
2009-04-30,76849.8
2009-05-08,76313.2
2009-05-15,76550.6
2009-05-22,76185
2009-05-29,75653.1
2009-06-05,74484.5
2009-06-12,74717.5
2009-06-19,74375.7
2009-06-26,74380.4
2009-07-03,74124.5
2009-07-10,73699
2009-07-17,73626.2
2009-07-24,73514.5
2009-07-31,73269
2009-08-07,72598.4
2009-08-14,73587
2009-08-21,73163.5
2009-08-28,76374.5
2009-09-04,76458.8
2009-09-11,77005.3
2009-09-18,76542.4
2009-09-25,76138.4
2009-10-02,78301.9
2009-10-09,79239.5
2009-10-16,80137.4
2009-10-23,80050.5
2009-10-30,79778.5
2009-11-06,79927.7
2009-11-13,80873.9
2009-11-20,80834
2009-11-27,81877
2009-12-04,81645.9
2009-12-11,87561.9
2009-12-18,87069.7
2009-12-24,90930.6
2009-12-31,90837.8
2010-01-08,90993.6
2010-01-15,91347.1
2010-01-22,91187.5
2010-01-29,92554.8
2010-02-05,93476.1
2010-02-12,93426.6
2010-02-19,93750.1
2010-02-26,94469.9
2010-03-05,94545.4
2010-03-12,94789.5
2010-03-19,94918.4
2010-03-26,94478.1
2010-03-31,95682.3
2010-04-09,96219.6
2010-04-16,97433.3
2010-04-23,97328
2010-04-30,97401.8
2010-05-07,98078.2
2010-05-14,98034.7
2010-05-21,98062
2010-05-28,97994.3
2010-06-04,98010
2010-06-11,98130.9
2010-06-18,100096.4
2010-06-25,100362.9
2010-07-02,101547.4
2010-07-09,101729.3
2010-07-16,102868.8
2010-07-23,103416.2
2010-07-30,104865.3
2010-08-06,105622
2010-08-13,106300.4
2010-08-20,106286.3
2010-08-27,106239
2010-09-03,106927.7
2010-09-10,106861.4
2010-09-15,106989
2010-09-24,108029.9
2010-10-01,108384.9
2010-10-08,109061.3
2010-10-15,109697.2
2010-10-22,109477
2010-10-29,110657.8
2010-11-05,110938.4
2010-11-12,110445
2010-11-19,110134.1
2010-11-26,110544.4
2010-12-03,111453.7
2010-12-10,111036.3
2010-12-17,111885.6
2010-12-24,112995.7
2010-12-31,113596.5
2011-01-07,116861.4
2011-01-14,116573.3
2011-01-21,117564.5
2011-01-28,118458.5
2011-02-04,118548.9
2011-02-11,118528.5
2011-02-18,119485
2011-02-25,121754.3
2011-03-04,121906.1
2011-03-11,122083.7
2011-03-18,122051.5
2011-03-25,121884.7
2011-04-01,122593.2
2011-04-08,123149
2011-04-15,124289.6
2011-04-20,125304.9
2011-04-29,125793.8
2011-05-06,125647.6
2011-05-13,125837.7
2011-05-20,126698.5
2011-05-27,127982.1
2011-06-03,128508.9
2011-06-10,129593.3
2011-06-17,129568.6
2011-06-24,129565.8
2011-07-01,129203.2
2011-07-08,130857.9
2011-07-15,131156.2
2011-07-22,132814.3
2011-07-29,134011.4
2011-08-05,133892.5
2011-08-12,134534
2011-08-19,136128
2011-08-26,136820.2
2011-09-02,137038.2
2011-09-09,136455.6
2011-09-15,136075.7
2011-09-23,136454.2
2011-09-30,137962
2011-10-07,138022
2011-10-14,138799.1
2011-10-21,138901.1
2011-10-28,140486.5
2011-11-04,140385.4
2011-11-11,140375.2
2011-11-18,140024.5
2011-11-25,139611.9
2011-12-02,141467.3
2011-12-09,141303.6
2011-12-16,140848.2
2011-12-23,140863.9
2011-12-30,142475.5
2012-01-06,144136
2012-01-13,144112.5
2012-01-20,145175
2012-01-27,147381.1
2012-02-03,148128.7
2012-02-10,147935.1
2012-02-17,147835
2012-02-24,147968
2012-03-02,148848.4
2012-03-09,148528
2012-03-16,148021.9
2012-03-23,148122.7
2012-03-30,150264.1
2012-04-04,150810.7
2012-04-13,151479.7
2012-04-20,152416.8
2012-04-27,154304
2012-05-04,154224.3
2012-05-11,153929.8
2012-05-18,153787.2
2012-05-25,154283.5
2012-06-01,155060.4
2012-06-08,155441.3
2012-06-15,156472.5
2012-06-22,156964.2
2012-06-29,157337.3
2012-07-06,157756.7
2012-07-13,157873.8
2012-07-20,159052.8
2012-07-27,158917.6
2012-08-03,159979.5
2012-08-10,160058
2012-08-17,159795.8
2012-08-24,161203.7
2012-08-31,161319.1
2012-09-07,161302
2012-09-14,161100.9
2012-09-21,160910.3
2012-09-28,161881.9
2012-10-05,161742.3
2012-10-12,161525.3
2012-10-19,161098.2
2012-10-26,160951.5
2012-11-01,162435.9
2012-11-09,162638
2012-11-16,162270.5
2012-11-23,162235.8
2012-11-30,163116.9
2012-12-07,163089.9
2012-12-14,163042.6
2012-12-21,163649.5
2012-12-28,163591.8
2013-01-04,163225.8
2013-01-11,163429.8
2013-01-18,163392.8
2013-01-25,163432.9
2013-02-01,165427.3
2013-02-08,165405.3
2013-02-15,165005.4
2013-02-22,164714.8
2013-03-01,165792.7
2013-03-08,165383.7
2013-03-15,165675
2013-03-22,165820
2013-03-27,166962.3
2013-04-05,166643.6
2013-04-12,166343.8
2013-04-19,165627.4
2013-04-26,167135.8
2013-05-03,168145.1
2013-05-10,167497.5
2013-05-17,166915.4
2013-05-24,167487.8
2013-05-31,167129.3
2013-06-07,167503.3
2013-06-14,167933.5
2013-06-21,166376.6
2013-06-28,166530.3
2013-07-05,166102.8
2013-07-12,166750.3
2013-07-19,166993.8
2013-07-26,168247.4
2013-08-02,169048.1
2013-08-09,169325.4
2013-08-16,169162.1
2013-08-23,169869.8
2013-08-30,170708.9
2013-09-06,170631.6
2013-09-13,170553.5
2013-09-20,170927.1
2013-09-27,172031.7
2013-10-04,172070.2
2013-10-11,171840.1
2013-10-18,173236.4
2013-10-25,174261.6
2013-11-01,174053.3
2013-11-08,173903.8
2013-11-15,174008
2013-11-22,175882
2013-11-29,176152.3
2013-12-06,175736.3
2013-12-13,175661.2
2013-12-20,176554.1
2013-12-27,176578.7
2014-01-03,176586.1
2014-01-10,176526.2
2014-01-17,176466.7
2014-01-24,177179.1
2014-01-31,179570.1
2014-02-07,179662.9
2014-02-14,179841.5
2014-02-21,179704.8
2014-02-28,180855
2014-03-07,180801.5
2014-03-14,181042.6
2014-03-21,180700.2
2014-03-28,182741.8
2014-04-04,183313.7
2014-04-11,183617.4
2014-04-16,183509.9
2014-04-25,184013.2
2014-05-02,186084.5
2014-05-09,186194.5
2014-05-16,186288.7
2014-05-23,187275.2
2014-05-30,188265.5
2014-06-06,188139.6
2014-06-13,188237.6
2014-06-20,188405.5
2014-06-27,190276.6
2014-07-04,190217.6
2014-07-11,190340.7
2014-07-18,190236.9
2014-07-25,190192.1
2014-08-01,190427.9
2014-08-08,190474.1
2014-08-15,190522.2
2014-08-22,190336.6
2014-08-29,191513.3
2014-09-05,191255.4
2014-09-12,190871.7
2014-09-19,190861.6
2014-09-26,190688.4
2014-10-03,190475.3
2014-10-10,190838.8
2014-10-17,190987.2
2014-10-24,190731.3
2014-10-31,191717.3
2014-11-07,191409.7
2014-11-14,191361.9
2014-11-21,192966.1
2014-11-28,192718.2
2014-12-05,192297.8
2014-12-11,192365.4
2014-12-19,193217
2014-12-26,193045
2015-01-02,193088.4
2015-01-09,193174.1
2015-01-16,193251.4
2015-01-23,192910.4
2015-01-30,196010.5
2015-02-06,195806.7
2015-02-13,195821.3
2015-02-20,195646.9
2015-02-27,195739.2
2015-03-06,194938.4
2015-03-13,195425.3
2015-03-20,195539.8
2015-03-27,195375.2
2015-04-01,195219
2015-04-10,194826.1
2015-04-17,195909.6
2015-04-24,195577
2015-04-30,195340.4
2015-05-08,195009.5
2015-05-15,194959.2
2015-05-22,194301.5
2015-05-29,193901
2015-06-05,193304.9
2015-06-12,193238
2015-06-19,193181.4
2015-06-26,192402.7
2015-07-03,192207.5
2015-07-10,191819.5
2015-07-17,191302.8
2015-07-24,190711.3
2015-07-31,190759.2
2015-08-07,189718.1
2015-08-14,188347
2015-08-21,187333.1
2015-08-28,185785.4
2015-09-04,184496.4
2015-09-11,183477.1
2015-09-18,182998.6
2015-09-25,181039.6
2015-10-02,180307.9
2015-10-09,179307.9
2015-10-16,178219.2
2015-10-23,176977.5
2015-10-30,175564.7
2015-11-06,174090.3
2015-11-13,173151.3
2015-11-20,172236.3
2015-11-27,171881.6
2015-12-04,171954.4
2015-12-11,172324.8
2015-12-18,174525.9
2015-12-24,176352.5
2015-12-31,176735.4
2016-01-08,175754.7
2016-01-15,175232
2016-01-22,174715.4
2016-01-29,175387.3
2016-02-05,174974.8
2016-02-12,174401.5
2016-02-19,174710.8
2016-02-26,176015.5
2016-03-04,176097.5
2016-03-11,176093.8
2016-03-18,176939.1
2016-03-23,176665.1
2016-04-01,177476.4
2016-04-08,177675.8
2016-04-15,177664.6
2016-04-22,177651.8
2016-04-29,177968.8
2016-05-06,177731.3
2016-05-13,177652.8
2016-05-20,177323.1
2016-05-27,176994.4
2016-06-03,177300.1
2016-06-10,177371.2
2016-06-17,177291.1
2016-06-24,177334.9
2016-07-01,177578.6
2016-07-08,177512.9
2016-07-15,177315.4
2016-07-22,177104.6
2016-07-29,177388.6
2016-08-05,176607.2
2016-08-12,176628.1
2016-08-19,176519.3
2016-08-26,176348.3
2016-09-02,176336.6
2016-09-09,176302
2016-09-15,175868.9
2016-09-23,175934.6
2016-09-30,175831.3
2016-10-07,175353.6
2016-10-14,175218.8
2016-10-21,175229.6
2016-10-28,175091.4
2016-11-04,175268
2016-11-11,174497.6
2016-11-18,174138.6
2016-11-25,174077.8
2016-12-02,174064.3
2016-12-09,176656.3
2016-12-16,176245.8
2016-12-23,176284.2
2016-12-30,176541.5
2017-01-06,174725.6
2017-01-13,174901.7
2017-01-20,174695.4
2017-01-27,174791.4
2017-02-03,174953.3
2017-02-10,174948
2017-02-17,174978.1
2017-02-24,175145.4
2017-03-03,174661.1
2017-03-10,174524.1
2017-03-17,174825
2017-03-24,175014.8
2017-03-31,174930.5
2017-04-07,174998.2
2017-04-12,174969.1
2017-04-21,175022.5
2017-04-28,175010.5
2017-05-05,174844.6
2017-05-12,174869.5
2017-05-19,175078.5
2017-05-26,175138.1
2017-06-02,174693.8
2017-06-09,174576.7
2017-06-16,174504
2017-06-23,174506.2
2017-06-30,174245.5
2017-07-07,173931.4
2017-07-14,173877.1
2017-07-21,173621.2
2017-07-28,173360.1
2017-08-04,173210.6
2017-08-11,173129.4
2017-08-18,173062.4
2017-08-25,173032
2017-09-01,173247.5
2017-09-08,173575.3
2017-09-15,173370.4
2017-09-22,173276.3
2017-09-29,173031.2
2017-10-06,172872.5
2017-10-13,173185.6
2017-10-20,172984.7
2017-10-27,172819.8
2017-11-03,172765.1
2017-11-10,172802.6
2017-11-17,172671.8
2017-11-24,172749.1
2017-12-01,172581
2017-12-08,172408.9
2017-12-15,172538.9
2017-12-22,172464.7
2017-12-29,172801.8
2018-01-05,172904.4
2018-01-12,172951.2
2018-01-19,173021.5
2018-01-26,173194.6
2018-02-02,172990.7
2018-02-09,172796.8
2018-02-16,173024.2
2018-02-23,172910.3
2018-03-02,173004.5
2018-03-09,172992.7
2018-03-16,173033.6
2018-03-23,173220
2018-03-28,173231.6
2018-04-06,173276.7
2018-04-13,173397.1
2018-04-20,173256.5
2018-04-27,173068.4
2018-05-04,173060
2018-05-11,173111.4
2018-05-18,172912.9
2018-05-25,173118
2018-06-01,173249.9
2018-06-08,173275.7
2018-06-15,173172.1
2018-06-22,173177.4
2018-06-29,173211.4
2018-07-06,173362.4
2018-07-13,173295.9
2018-07-20,173272.9
2018-07-27,173238.1
2018-08-03,173287
2018-08-10,173351.4
2018-08-17,173329
2018-08-24,173569.5
2018-08-31,173606.1
2018-09-07,173516.2
2018-09-14,173554.3
2018-09-21,173568.4
2018-09-28,173566.1
2018-10-05,173391.2
2018-10-12,173649.4
2018-10-19,173634.8
2018-10-26,173582.4
2018-11-01,173632.9
2018-11-09,173560.8
2018-11-16,173851.4
2018-11-23,173907.4
2018-11-30,173775.3
2018-12-07,174118
2018-12-14,174081.1
2018-12-21,174393.7
2018-12-28,174609.1
2019-01-04,174937.4
2019-01-11,175091
2019-01-18,175029.4
2019-01-25,175155.9
2019-02-01,175522.9
2019-02-08,175511
2019-02-15,175500.7
2019-02-22,175693.9
2019-03-01,175646.3
2019-03-08,175767.4
2019-03-15,176045.1
2019-03-22,176475.9
2019-03-29,176648.6
2019-04-05,176466.3
2019-04-12,176465
2019-04-17,176455.2
2019-04-26,176660.7
2019-05-03,176695.7
2019-05-10,176924.2
2019-05-17,177090.9
2019-05-24,177322.3
2019-05-31,177855.9
2019-06-07,178290.6
2019-06-14,178298.7
2019-06-21,178601.2
2019-06-28,178867.6
2019-07-05,178739.5
2019-07-12,178754.8
2019-07-19,179020.2
2019-07-26,178920.9
2019-08-02,179397.3
2019-08-09,179814.8
2019-08-16,180243
2019-08-23,180263.4
2019-08-30,180377
2019-09-06,180456
2019-09-13,179747.1
2019-09-20,180019.2
2019-09-27,180212.6
2019-10-04,180796.1
2019-10-11,180324.1
2019-10-18,180461.9
2019-10-25,180432.5
2019-11-01,180727.5
2019-11-08,180277.8
2019-11-15,180566.9
2019-11-22,180557.2
2019-11-29,180597.3
2019-12-06,180469.4
2019-12-13,180616.4
2019-12-20,180512.3
2019-12-27,180749.5
2020-01-03,181177.1
2020-01-10,181132.9
2020-01-17,181210.3
2020-01-24,182402.5
2020-01-31,182796.4
2020-02-07,182602.9
2020-02-14,182659.7
2020-02-21,183336.9
2020-02-28,184249.6
2020-03-06,185570.9
2020-03-13,184619
2020-03-20,184174.5
2020-03-27,185508.5
2020-04-03,185556.9
2020-04-08,185617.6
2020-04-17,185942.8
2020-04-24,186128.2
2020-04-30,186655.4
2020-05-08,186642.7
2020-05-15,186921.9
2020-05-22,187171.8
2020-05-29,187315.6
2020-06-05,187247.2
2020-06-12,188105.2
2020-06-19,188276.6
2020-06-26,188941.5
2020-07-03,190546.3
2020-07-10,191121.8
2020-07-17,191468.4
2020-07-24,192292.2
2020-07-31,192605.6
2020-08-07,192653.7
2020-08-14,192531
2020-08-21,193130.3
2020-08-28,193267.1
2020-09-04,193250.6
2020-09-11,193315.5
2020-09-18,193795.8
2020-09-25,193883.1
2020-10-02,193991.1
2020-10-09,194026
2020-10-16,194029.3
2020-10-23,194471
2020-10-30,194351.1
2020-11-06,194698.3
2020-11-13,194360.8
2020-11-20,194379.8
2020-11-27,194287.8
2020-12-04,194359.1
2020-12-11,195340.6
2020-12-18,195441.2
2020-12-24,195479.1
2020-12-31,195667.2
2021-01-08,195517.8
2021-01-15,195438.1
2021-01-22,195957.2
2021-01-29,195946.1
2021-02-05,195726.3
2021-02-12,195812.1
2021-02-19,195609.5
2021-02-26,195269.5
2021-03-05,195056.8
2021-03-12,194973.5
2021-03-19,194938.5
2021-03-26,194933.5
2021-03-31,194774.2
2021-04-09,195002.2
2021-04-16,195246.7
2021-04-23,195373.1
2021-04-30,195267.6
2021-05-07,195129.1
2021-05-14,194645
2021-05-21,194380.9
2021-05-28,194168.7
2021-06-04,193769.9
2021-06-11,193467.4
2021-06-18,192826.9
2021-06-25,192886
2021-07-02,193020.4
